customer_id,age,location,subscription_type,payment_plan,num_subscription_pauses,payment_method,customer_service_inquiries,signup_date,weekly_hours,average_session_length,song_skip_rate,weekly_songs_played,weekly_unique_songs,num_favorite_artists,num_platform_friends,num_playlists_created,num_shared_playlists,notifications_clicked,churned
1,72,Washington,family premium,monthly,monthly,venmo,many,4/8/2014,17.95307065,2.453397535,0.04,245,151,35,57,14,7,0,0
2,48,New York,family premium,annual,monthly,credit,none,12/10/2015,7.725492639,0.9240077064,0.98,112,57,18,62,10,3,1,0
3,76,West Virginia,family premium,annual,annual,credit,few,4/22/2014,9.514800328,1.563817279,0.35,124,96,15,34,17,6,1,0
4,80,Georgia,family premium,annual,annual,debit,few,8/31/2013,8.49786946,1.089720759,0.69,130,109,13,42,8,4,0,0
5,39,New Jersey,family premium,annual,annual,debit,many,1/14/2013,29.97173084,2.313364773,0.76,490,293,54,90,14,5,0,0
6,48,California,basic,annual,annual,debit,few,1/23/2018,5.505932694,0.4780593018,0.23,76,55,13,72,13,4,63,0
7,70,Utah,basic,annual,annual,credit,none,3/27/2013,19.61038433,1.417188611,0.06,365,183,42,49,5,2,141,0
8,19,Washington,basic,annual,monthly,venmo,none,11/23/2018,14.72748743,1.971725444,0.73,182,105,20,90,15,15,48,0
9,35,Maine,student,monthly,annual,venmo,few,7/5/2014,0.4136860146,0.3461932259,0.42,5,3,2,86,6,2,139,0
10,42,Georgia,premium,monthly,annual,credit,some,1/28/2019,0.3328783724,0.9663755667,0.76,4,3,1,74,9,3,203,0
11,34,New York,basic,annual,monthly,credit,few,2/17/2020,15.40513105,2.815166309,0.06,209,185,31,68,10,10,115,1
12,56,Virginia,family premium,annual,annual,venmo,many,6/23/2017,25.35463686,2.169240155,0.15,502,299,54,71,10,3,2,0
13,67,Georgia,family premium,annual,annual,venmo,few,5/25/2020,15.39980894,0.6686154211,0.25,251,227,31,48,9,9,0,0
14,57,North Dakota,basic,annual,annual,credit,none,1/7/2018,30.79787485,4.077479501,0.21,375,270,44,50,16,5,105,0
15,24,Vermont,student,monthly,monthly,credit,few,10/27/2013,29.97151999,0.5683168162,0.17,414,218,47,92,8,2,208,0
16,69,Idaho,basic,annual,annual,credit,many,10/22/2014,14.5343525,1.522741065,0.13,204,151,29,47,8,4,81,0
17,75,New Jersey,basic,monthly,annual,credit,some,2/24/2020,15.42666394,1.490237206,0.90,198,169,25,26,14,5,40,1
18,38,Vermont,basic,annual,annual,debit,few,6/4/2014,0.7577151047,0.7138315465,0.13,13,13,8,75,8,3,74,0
19,71,Georgia,basic,annual,annual,credit,some,8/11/2015,2.71327575,0.8996154164,0.44,33,20,4,43,8,4,233,1
20,58,Vermont,family premium,annual,annual,credit,many,5/9/2021,6.868216521,0.8087502923,0.54,109,59,16,40,11,6,1,0
21,71,Florida,basic,annual,annual,venmo,some,6/3/2021,3.487529241,0.1396304024,0.50,47,34,8,30,11,11,42,0
22,41,South Carolina,basic,monthly,annual,venmo,many,3/1/2015,15.40231571,1.831587363,0.98,302,167,38,84,20,20,122,0
23,80,Wisconsin,family premium,annual,annual,credit,many,10/16/2019,16.01022453,1.426843578,0.30,308,207,36,33,12,12,0,0
24,74,West Virginia,basic,annual,annual,venmo,many,8/27/2016,0.02585383272,0.9272825407,0.95,0,0,3,34,18,6,130,0
25,24,Maine,basic,annual,annual,venmo,few,9/20/2017,5.152220294,0.9116373151,0.07,90,67,10,99,6,6,88,0
26,34,New York,premium,monthly,annual,venmo,some,1/10/2016,16.66908941,2.513420833,0.76,255,172,32,83,10,3,223,1
27,37,Alabama,family premium,annual,annual,credit,few,4/6/2013,19.55046747,0.09470065843,0.78,293,261,31,97,10,5,0,0
28,79,California,basic,annual,annual,debit,few,1/31/2018,13.59768952,2.000681042,0.38,240,139,33,44,13,13,123,0
29,35,Idaho,family premium,annual,annual,credit,few,1/22/2015,9.875246017,1.252168985,0.25,196,113,25,76,5,1,0,0
30,62,New York,student,annual,monthly,debit,few,3/8/2017,30.58584522,0.4973532057,0.73,396,221,44,59,9,5,94,0
31,47,North Dakota,student,monthly,annual,credit,many,10/19/2020,12.24440216,1.334861364,0.31,161,92,19,61,17,9,42,1
32,29,Florida,student,monthly,monthly,venmo,some,3/3/2013,8.385999688,0.744341705,0.49,126,68,21,97,8,8,176,0
33,24,Maine,basic,annual,annual,debit,many,4/2/2019,16.05182832,2.421013049,0.50,195,105,20,83,5,2,80,0
34,31,Florida,premium,monthly,annual,credit,few,3/22/2015,30.37424792,1.507753766,0.35,600,503,61,90,9,3,91,1
35,61,Montana,basic,monthly,annual,venmo,many,3/6/2016,4.865123468,0.6043156414,0.65,94,53,10,64,10,3,64,0
36,35,Montana,family premium,annual,annual,credit,many,12/20/2015,14.59128719,1.701885834,0.11,212,194,28,72,9,9,1,0
37,62,California,family premium,annual,annual,credit,some,9/5/2015,2.59131714,0.8095296221,0.47,50,26,14,63,14,5,2,0
38,63,Wisconsin,family premium,annual,annual,credit,none,12/29/2013,6.395867676,0.6431617722,0.22,110,56,14,61,14,5,2,0
39,40,Maine,student,monthly,monthly,venmo,many,2/9/2017,13.80973517,0.7055014158,0.49,219,115,29,69,6,3,67,0
40,75,California,family premium,annual,annual,venmo,few,12/9/2015,24.60101312,0.8086239059,0.30,336,302,40,41,13,4,0,0
41,71,Wisconsin,student,annual,monthly,debit,few,1/27/2016,21.02753135,2.75146946,0.27,260,145,26,38,11,3,128,0
42,37,West Virginia,family premium,annual,monthly,debit,many,7/20/2019,17.27285138,2.382103291,0.09,239,191,25,72,17,9,1,1
43,38,Virginia,basic,annual,annual,venmo,few,1/22/2018,23.62610327,2.51239347,0.29,321,168,42,72,12,4,130,0
44,42,South Carolina,basic,annual,annual,credit,few,4/9/2019,23.33771563,2.57456373,0.17,319,253,32,81,21,21,58,1
45,27,West Virginia,premium,annual,annual,debit,some,5/28/2019,25.43555743,2.257123295,0.18,467,366,52,81,20,20,59,0
46,40,South Carolina,basic,annual,monthly,credit,many,8/11/2013,3.765246636,1.082994213,0.42,46,25,14,89,21,11,128,0
